filename,source_split,group_id,proposed_split,rationale
image1.jpeg,test,grp_solar_panels,train,solar_panel_maintenance
image2.jpg,train,grp_scene_0002,train,general_construction_scene
image3.jpeg,train,grp_scene_0003,train,general_construction_scene
image4.jpg,train,grp_scene_0004,train,general_construction_scene
image5.jpeg,train,grp_scene_0005,train,general_construction_scene
image6.jpeg,test,grp_scene_0006,train,general_construction_scene
image7.jpg,train,grp_scene_0007,test,general_construction_scene
image8.jpeg,train,grp_scene_0008,train,general_construction_scene
image9.jpg,val,grp_scene_0009,train,general_construction_scene
image10.jpeg,test,grp_scene_0010,val,general_construction_scene
image11.jpeg,val,grp_scene_0011,train,general_construction_scene
image12.jpg,val,grp_scene_0012,train,general_construction_scene
image13.jpeg,train,grp_scene_0013,train,general_construction_scene
image14.jpeg,train,grp_scene_0014,train,general_construction_scene
image15.jpg,train,grp_scene_0015,train,general_construction_scene
image16.jpeg,train,grp_scene_0016,train,general_construction_scene
image17.jpg,train,grp_scene_0017,test,general_construction_scene
image18.jpeg,train,grp_scene_0018,train,general_construction_scene
image19.jpeg,train,grp_scene_0019,train,general_construction_scene
image20.jpg,train,grp_scene_0020,val,general_construction_scene
image21.jpeg,train,grp_scene_0021,train,general_construction_scene
image22.jpg,train,grp_scene_0022,train,general_construction_scene
image23.jpeg,val,grp_utility_wiring,train,street_utility_ladder_scene
image24.jpg,train,grp_scene_0024,train,general_construction_scene
image25.jpeg,train,grp_scene_0025,train,general_construction_scene
image26.jpeg,train,grp_scene_0026,train,general_construction_scene
image27.jpeg,val,grp_scene_0027,test,general_construction_scene
image28.jpeg,train,grp_scene_0028,train,general_construction_scene
image29.jpeg,train,grp_scene_0029,train,general_construction_scene
image30.jpeg,train,grp_scene_0030,val,general_construction_scene
image31.jpg,val,grp_scene_0031,train,general_construction_scene
image32.jpeg,train,grp_scene_0032,train,general_construction_scene
image33.jpg,train,grp_scene_0033,train,general_construction_scene
image34.jpeg,train,grp_scene_0034,train,general_construction_scene
image35.jpeg,val,grp_scene_0035,train,general_construction_scene
image36.jpg,train,grp_scene_0036,train,general_construction_scene
image37.jpeg,train,grp_scene_0037,test,general_construction_scene
image38.jpg,train,grp_scene_0038,train,general_construction_scene
image39.jpeg,train,grp_scene_0039,train,general_construction_scene
image40.jpg,test,grp_scene_0040,val,general_construction_scene
image41.jpeg,train,grp_scene_0041,train,general_construction_scene
image42.jpg,train,grp_scene_0042,train,general_construction_scene
image43.jpeg,train,grp_scene_0043,train,general_construction_scene
image44.jpeg,train,grp_scene_0044,train,general_construction_scene
image45.jpg,train,grp_scene_0045,train,general_construction_scene
image46.jpeg,val,grp_scene_0046,train,general_construction_scene
image47.jpg,train,grp_scene_0047,test,general_construction_scene
image48.jpeg,train,grp_scene_0048,train,general_construction_scene
image49.jpg,train,grp_scene_0049,train,general_construction_scene
image50.jpeg,train,grp_scene_0050,val,general_construction_scene
image51.jpeg,train,grp_scene_0051,train,general_construction_scene
image52.jpg,train,grp_scene_0052,train,general_construction_scene
image53.jpeg,train,grp_scene_0053,train,general_construction_scene
image54.jpg,train,grp_scene_0054,train,general_construction_scene
image55.jpeg,train,grp_scene_0055,train,general_construction_scene
image56.jpg,train,grp_scene_0056,train,general_construction_scene
image57.jpeg,train,grp_scene_0057,test,general_construction_scene
image58.jpeg,test,grp_scene_0058,train,general_construction_scene
image59.jpg,train,grp_scene_0059,train,general_construction_scene
