filename,sample_type,source_split,proposed_split,group_id,category,fire_boxes,smoke_boxes,total_boxes,unboxed_person_flag,defect_flag,worker_audit_notes
AoF00001.jpg,fire_only,train,train,grp_aof_single_AoF00001,fire_only,1,0,1,0,0,stratified_fire
AoF04383.jpg,fire_only,train,train,grp_aof_00020,fire_only,1,0,1,0,0,stratified_fire
AoF04536.jpg,fire_only,train,train,grp_aof_single_AoF04536,fire_only,2,0,2,0,0,stratified_fire
AoF04615.jpg,fire_only,train,train,grp_aof_00005,fire_only,1,0,1,0,0,stratified_fire
AoF04694.jpg,fire_only,train,train,grp_aof_00005,fire_only,1,0,1,0,0,stratified_fire
AoF04774.jpg,fire_only,train,train,grp_aof_00005,fire_only,1,0,1,0,0,stratified_fire
AoF04916.jpg,fire_only,train,train,grp_aof_00001,fire_only,2,0,2,0,0,stratified_fire
AoF04985.jpg,fire_only,train,train,grp_aof_00001,fire_only,4,0,4,0,0,stratified_fire
PublicDataset00031.jpg,fire_only,train,train,grp_publicdataset_00037,fire_only,1,0,1,0,0,stratified_fire
PublicDataset01028.jpg,fire_only,train,train,grp_publicdataset_single_PublicDataset01028,fire_only,1,0,1,0,0,stratified_fire
WEB03858.jpg,fire_only,train,train,grp_web_single_WEB03858,fire_only,5,0,5,0,0,stratified_fire
WEB04119.jpg,fire_only,train,train,grp_web_single_WEB04119,fire_only,3,0,3,0,0,stratified_fire
WEB04353.jpg,fire_only,train,train,grp_web_single_WEB04353,fire_only,3,0,3,0,0,stratified_fire
WEB04734.jpg,fire_only,train,train,grp_web_00776,fire_only,1,0,1,0,0,stratified_fire
WEB05388.jpg,fire_only,train,train,grp_web_single_WEB05388,fire_only,4,0,4,0,0,stratified_fire
WEB05698.jpg,fire_only,train,train,grp_web_00171,fire_only,4,0,4,0,0,stratified_fire
WEB05991.jpg,fire_only,train,train,grp_web_single_WEB05991,fire_only,4,0,4,0,0,stratified_fire
AoF04496.jpg,fire_only,val,val,grp_aof_01581,fire_only,1,0,1,0,0,stratified_fire
AoF04925.jpg,fire_only,val,train,grp_aof_00001,fire_only,4,0,4,0,0,stratified_fire
WEB04126.jpg,fire_only,val,val,grp_web_single_WEB04126,fire_only,2,0,2,0,0,stratified_fire
WEB05687.jpg,fire_only,val,val,grp_web_01279,fire_only,3,0,3,0,0,stratified_fire
AoF07842.jpg,fire_only,test,test,grp_aof_01537,fire_only,1,0,1,0,0,stratified_fire
AoF07900.jpg,fire_only,test,train,grp_aof_00005,fire_only,1,0,1,0,0,stratified_fire
PublicDataset01066.jpg,fire_only,test,train,grp_publicdataset_00037,fire_only,1,0,1,0,0,stratified_fire
WEB10518.jpg,fire_only,test,test,grp_web_single_WEB10518,fire_only,1,0,1,0,0,stratified_fire
AoF04010.jpg,both,train,train,grp_aof_00048,both,5,1,6,0,0,stratified_both
AoF04264.jpg,both,train,train,grp_aof_00001,both,1,1,2,0,0,stratified_both
AoF04729.jpg,both,train,train,grp_aof_00005,both,1,1,2,0,0,stratified_both
PublicDataset00101.jpg,both,train,train,grp_publicdataset_00066,both,1,1,2,0,0,stratified_both
