clip_id,frame_idx,timestamp_sec,split,actor_group,class_label,action_phase,action_state_label,annotation_status,person_boxes_count,fall_boxes_count,review_status,notes
FD0001,0,0.000,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,100,1.666,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,120,1.999,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,150,2.499,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,165,2.749,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,180,2.999,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,210,3.499,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,225,3.749,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,240,3.999,train,grp_session_20260216_actorA_dark_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,245,4.082,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,250,4.165,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,255,4.249,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,260,4.332,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,265,4.415,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,270,4.499,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,275,4.582,train,grp_session_20260216_actorA_dark_top,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,290,4.832,train,grp_session_20260216_actorA_dark_top,adl_no_fall,adl_action,adl_walking,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,300,4.999,train,grp_session_20260216_actorA_dark_top,adl_no_fall,adl_action,adl_walking,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0001,310,5.165,train,grp_session_20260216_actorA_dark_top,adl_no_fall,adl_action,adl_walking,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,0,0.000,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_standing,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,20,0.340,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_standing,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,53,0.901,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_bending,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,60,1.020,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_bending,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,90,1.529,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_walking,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0002,100,1.699,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_walking,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0003,0,0.000,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_standing_multi,COMPLETED,2,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 2 canonical box(es). Pending independent human sign-off.
FD0003,30,0.600,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_standing_multi,COMPLETED,2,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 2 canonical box(es). Pending independent human sign-off.
FD0003,72,1.440,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_standing_multi,COMPLETED,2,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 2 canonical box(es). Pending independent human sign-off.
FD0003,88,1.760,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_standing_multi,COMPLETED,2,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 2 canonical box(es). Pending independent human sign-off.
FD0004,0,0.000,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,36,0.600,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,50,0.833,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,72,1.200,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,84,1.400,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,96,1.600,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,108,1.800,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,125,2.083,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,adl_action,adl_leaning,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,142,2.366,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,150,2.499,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0004,158,2.633,train,grp_session_20260216_actor_session1_classroom,adl_no_fall,transition,adl_standing_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,0,0.000,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,20,0.334,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,40,0.668,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,50,0.835,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_sitting,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,60,1.002,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,80,1.336,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,100,1.670,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,pre_fall_or_adl_steady,adl_lying,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,120,2.004,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,transition,adl_sitting_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,130,2.171,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,transition,adl_sitting_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,140,2.338,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,transition,adl_sitting_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
FD0005,150,2.505,val,grp_session_20260223_actorE_black_graphic_top,adl_no_fall,transition,adl_sitting_transition,COMPLETED,1,0,WORKER_VISUAL_QA_VERIFIED,Worker visual annotation verified: 1 canonical box(es). Pending independent human sign-off.
