clip_id,frame_idx,time_sec,class_label,cvat_label,stage1_classes,dual_box_status,bbox_coordinates,box_count,notes
FD0035,0,0.0,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,10,0.167,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,20,0.333,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,30,0.5,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,40,0.666,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,50,0.833,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,60,1.0,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,70,1.166,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,80,1.333,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,90,1.5,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,100,1.666,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,110,1.833,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,115,1.916,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,120,1.999,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,130,2.166,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,140,2.333,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,150,2.499,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,160,2.666,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,170,2.833,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,180,2.999,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,190,3.166,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,200,3.332,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,210,3.499,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,220,3.666,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,230,3.832,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,231,3.849,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,240,3.999,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,250,4.166,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
FD0035,260,4.332,standing_to_fall,standing,0:person,pre-fall (person only),"[0.0,4.0,1295.7,1080.0]",1,Pre-fall state; requires 0:person box only | WARNING: loose/oversized bounding box
