pilot_id,clip_id,frame_idx,time_sec,split,actor_group,state_category,cvat_state_label,image_rel_path,label_rel_path,box_count,class_ids,dhash_hex,is_keyframe,is_state_boundary
FD0035_frame_0000,FD0035,0,0.0,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0000.jpg,labels/train/FD0035_frame_0000.txt,1,0,0xd0d0d89b1a18f831,True,True
FD0035_frame_0010,FD0035,10,0.167,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0010.jpg,labels/train/FD0035_frame_0010.txt,1,0,0x44507070d2139ad8,False,False
FD0035_frame_0020,FD0035,20,0.333,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0020.jpg,labels/train/FD0035_frame_0020.txt,1,0,0x6672727050939292,False,False
FD0035_frame_0030,FD0035,30,0.5,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0030.jpg,labels/train/FD0035_frame_0030.txt,1,0,0x66767270f093b3b2,False,False
FD0035_frame_0040,FD0035,40,0.666,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0040.jpg,labels/train/FD0035_frame_0040.txt,1,0,0x66667674f0b3b2ba,False,False
FD0035_frame_0050,FD0035,50,0.833,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0050.jpg,labels/train/FD0035_frame_0050.txt,1,0,0x667272f0113132f0,False,False
FD0035_frame_0060,FD0035,60,1.0,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0060.jpg,labels/train/FD0035_frame_0060.txt,1,0,0x7232727231337270,False,False
FD0035_frame_0070,FD0035,70,1.166,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0070.jpg,labels/train/FD0035_frame_0070.txt,1,0,0x33323232507272f0,False,False
FD0035_frame_0090,FD0035,90,1.5,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0090.jpg,labels/train/FD0035_frame_0090.txt,1,0,0x3232327071707488,False,False
FD0035_frame_0100,FD0035,100,1.666,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0100.jpg,labels/train/FD0035_frame_0100.txt,1,0,0x3232323271307408,False,False
FD0035_frame_0120,FD0035,120,1.999,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0120.jpg,labels/train/FD0035_frame_0120.txt,1,0,0x2632323431327408,False,False
FD0035_frame_0130,FD0035,130,2.166,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0130.jpg,labels/train/FD0035_frame_0130.txt,1,0,0x2636363435337400,False,False
FD0035_frame_0140,FD0035,140,2.333,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0140.jpg,labels/train/FD0035_frame_0140.txt,1,0,0x2626262425256400,False,False
FD0035_frame_0150,FD0035,150,2.499,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0150.jpg,labels/train/FD0035_frame_0150.txt,1,0,0x262626262525244c,False,False
FD0035_frame_0160,FD0035,160,2.666,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0160.jpg,labels/train/FD0035_frame_0160.txt,1,0,0x26262626246564c4,False,False
FD0035_frame_0170,FD0035,170,2.833,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0170.jpg,labels/train/FD0035_frame_0170.txt,1,0,0x22222626246564a6,False,False
FD0035_frame_0180,FD0035,180,2.999,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0180.jpg,labels/train/FD0035_frame_0180.txt,1,0,0x22626266646164ae,False,False
FD0035_frame_0190,FD0035,190,3.166,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0190.jpg,labels/train/FD0035_frame_0190.txt,1,0,0x63626262686164a6,False,False
FD0035_frame_0200,FD0035,200,3.332,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0200.jpg,labels/train/FD0035_frame_0200.txt,1,0,0x7363626268696ca2,False,False
FD0035_frame_0210,FD0035,210,3.499,train,grp_session_20260216_actorA_dark_top,pre_fall,standing,images/train/FD0035_frame_0210.jpg,labels/train/FD0035_frame_0210.txt,1,0,0x7363636268494ec2,False,False
